vessel_imo,country,port,date,inspection_type,number_of_deficiencies,detention
9056571,Netherlands,Moerdijk,2005-04-08,More detailed inspection,0,N
9056571,Germany,Bremen,2005-02-22,Expanded inspection,9,N
9063732,Japan,Kushiro,2024-05-31,Initial inspection,0,N
9063732,Japan,Fushiki,2014-02-17,Follow-up inspection,3,N
9063732,Japan,Niigata,2023-10-12,Follow-up inspection,0,N
9063732,Japan,Shimizu,2013-12-25,Initial inspection,3,N
9063732,,,2013-12-25,Initial inspection,0,
9063732,,,2012-10-01,,0,N
9063732,Vietnam,Quang Ninh,2023-08-29,Initial inspection,2,N
9063732,,,2012-08-07,,0,N
9063732,Japan,Kushiro,2023-02-01,Initial inspection,3,N
9063732,,,2012-03-02,,0,N
9063732,Japan,Niigata,2021-01-06,Follow-up inspection,0,N
9063732,,,2011-05-18,,0,N
9063732,,,2011-05-18,Initial inspection,2,
9063732,,,2010-09-13,,0,N
9063732,Japan,Ishinomaki,2020-02-13,Initial inspection,2,N
9063732,,,2010-07-05,,0,N
9063732,Japan,Maizuru,2019-10-30,Initial inspection,0,N
9063732,,,2010-05-14,,0,N
9063732,Japan,Otaru,2019-01-09,Follow-up inspection,0,N
9063732,,,2009-11-15,,0,N
9063732,,,2009-11-15,Initial inspection,0,
9063732,,,2009-11-06,,0,N
9063732,China Peoples's Republic,Caofeidian,2018-07-27,Initial inspection,8,N
9063732,,,2009-04-27,,0,N
9063732,China Peoples's Republic,Taicang,2017-09-11,Initial inspection,3,N
9063732,,,2008-07-07,,0,N
9063732,Japan,Tomakomai,2017-03-02,Initial inspection,0,N
9063732,,,2008-02-26,,0,N
9063732,China Peoples's Republic,Taicang,2016-09-05,Initial inspection,3,N
9063732,,,2007-07-06,,0,N
9063732,Japan,Niigata,2016-01-06,Initial inspection,0,N
9063732,,,2006-12-13,,0,N
9063732,Japan,Chiba,2015-07-29,Initial inspection,4,N
9063732,,,2006-02-01,,0,N
9063732,China Peoples's Republic,Yancheng,2014-11-26,Initial inspection,6,N
9063732,,,2005-05-31,,0,N
9063732,,,2004-11-04,,0,N
9063732,,,2004-05-17,,0,N
9063732,,,2003-07-14,,0,N
9063732,Japan,Fushiki,2003-02-03,,0,N
9063732,Japan,Kesennuma,2002-05-08,,0,N
9063732,Japan,Himeji,2002-01-31,,0,N
9063732,Korea (Republic of),Incheon,2001-02-14,,0,N
9104782,Turkey,Giresun,2024-02-23,Expanded inspection,0,N
9104782,Georgia,Batumi,2021-12-14,More detailed inspection,2,N
9104782,Ukraine,Chornomorsk,2021-08-02,More detailed inspection,2,N
9104782,Georgia,Batumi,2020-04-07,More detailed inspection,10,N
9104782,Ukraine,Kherson,2017-10-25,Initial inspection,0,N
9104782,Ukraine,Chornomorsk,2017-04-06,Initial inspection,0,N
9104782,Greece,Agioi Theodoroi,2016-09-02,Expanded inspection,1,N
9104782,Turkey,Kocaeli,2016-03-07,More detailed inspection,4,N
9104782,Iran,Bandar Neka,2004-06-05,Initial inspection,0,N
9104782,Iran,Bandar Neka,2003-04-30,Initial inspection,0,N
9105140,Cuba,Nuevitas,2018-05-06,Follow-up inspection,0,N
9105140,France,Brest,2006-04-28,Initial inspection,0,N
9105140,United States of America,MSO Houston- Galveston,2001-09-05,,0,N
9105140,Cuba,Nuevitas,2018-05-04,Follow-up inspection,5,N
9105140,Ireland,Dublin,2006-03-10,Expanded inspection,2,Y
9105140,Canada,Saint john,2001-08-03,Initial inspection,0,N
9105140,Cuba,Moa,2016-07-22,Initial inspection,0,N
9105140,Portugal,Lisboa,2005-06-28,Initial inspection,1,N
9105140,United States of America,MSO Charleston,2001-06-23,,0,N
9105140,Latvia,Ventspils,2015-07-01,Expanded inspection,0,N
9105140,France,Nantes,2005-05-11,Initial inspection,4,N
9105140,United States of America,MSO Houston- Galveston,2001-06-07,,0,N
9105140,United Kingdom,Teesport,2014-07-30,More detailed inspection,3,N
9105140,Netherlands,Amsterdam,2005-03-07,Expanded inspection,9,N
9105140,Finland,Hamina,2000-09-29,,2,N
9105140,Netherlands,Amsterdam,2014-04-04,More detailed inspection,3,N
9105140,France,Bayonne,2004-08-23,Initial inspection,0,N
9105140,United States of America,MIO New York,2000-03-07,,0,N
9105140,United Kingdom,Fawley,2014-01-03,Expanded inspection,5,N
9105140,United States of America,MIO New York,2004-04-03,,0,N
9105140,United States of America,MSO Port Arthur,1999-07-08,,0,N
9105140,United Kingdom,Teesport,2012-01-01,Expanded inspection,2,N
9105140,Greece,Eleusis,2004-01-21,Initial inspection,0,N
9105140,United States of America,MSO Charleston,1999-03-11,,0,N
9105140,United States of America,"New York, New York",2011-06-08,Standard Examination,2,N
9105140,Canada,Saint john,2003-10-24,Initial inspection,2,N
9105140,United States of America,MSO Houston- Galveston,1999-02-23,,2,N
9105140,United Kingdom,Fawley,2010-09-07,Expanded inspection,2,N
9105140,United States of America,Vananda,2003-05-29,,0,N
9105140,Canada,Saint john,1998-11-28,,0,N
9105140,Estonia,Sillamäe,2010-02-09,Initial inspection,0,N
9105140,Russia,Arkhangelsk,2003-03-21,Initial inspection,0,N
9105140,Latvia,Ventspils,2009-07-23,Expanded inspection,1,N
9105140,United States of America,Vananda,2002-11-22,,0,N
9105140,Latvia,Riga,2009-02-09,Initial inspection,0,N
9105140,Finland,Hamina,2002-10-29,Initial inspection,2,N
9105140,Netherlands,Amsterdam,2008-07-04,Expanded inspection,0,N
9105140,Canada,Quebec city,2002-04-27,Initial inspection,0,N
9105140,Russia,Arkhangelsk,2008-04-28,Initial inspection,0,N
9105140,Finland,Hamina,2002-04-10,Initial inspection,1,N
9105140,Portugal,Ponta delgada,2007-09-13,Initial inspection,0,N
9105140,United States of America,MSO Port Arthur,2002-03-13,,0,N
9105140,Portugal,Sines,2007-05-31,Expanded inspection,2,N
9105140,United States of America,Vananda,2002-03-08,,3,N
9105140,Sweden,Brofjorden,2006-10-31,Initial inspection,0,N
9105140,United States of America,MSO Charleston,2001-09-06,,0,N
