imo,vessel_name,tanker_size,buildyear,crude_total,months_uninsured,products_total,start_date,end_date,earliest_sanction_date,ownership_changes_after_2022,ownership_jurisdictions_after_2022,shipmanager_changes_after_2022,shipmanager_jurisdictions_after_2022,ism_manager_changes_after_2022,ism_manager_jurisdictions_after_2022,detentions,detentions_after_2022,deficiencies,deficiencies_after_2022,names_after_2022,name_changes_after_2022,flags_after_2022,flag_changes_after_2022,ais_gaps,ais_gap_total_hours,ais_gaps_after_2022,ais_gap_total_hours_after_2022,RUS_port_visits_after_2022,RUS_port_visits_before_2022,TUR_port_visits_after_2022,TUR_port_visits_before_2022,IND_port_visits_after_2022,IND_port_visits_before_2022,loitering_events_before_2022,loitering_events_after_2022,sts_events
9296585,Sensus,Seawaymax,2005,,9,1.9,2023-01-01,2023-12-31,2024-01-18,3,"Panama, Marshall Islands, Liberia",4,"United Arab Emirates, Liberia, India, Liberia",4,"Singapore, India, India, Unknown",1,1,30,4,"UOG Consensus, SENSUS",2,"Liberia, Liberia, Not Known",3,0,0,0,0,11,0,38,0,0,16,97,77,4
9381732,Hs Buraq,Aframax,2008,2.9899999999999998,3,1.5,2023-01-01,2023-11-30,2024-01-18,3,"Kuwait, Liberia, Unknown",3,"Kuwait, Liberia, Unknown",5,"Kuwait, Unknown, India, India, Unknown",0,0,19,5,"Hs Buraq, AUGA",2,"Liberia, Not Known, Guinea False",3,2,24,0,0,9,0,14,2,3,1,26,51,1
9322827,Peria,Aframax,2006,1.31,2,0.0,2023-12-01,2024-01-31,2024-01-18,3,"Vietnam, Liberia, United Arab Emirates",3,"Vietnam, Liberia, United Arab Emirates",5,"Vietnam, India, Unknown, India, Unknown",0,0,25,1,"Peria, PICTOR",2,"Marshall Islands, Liberia, Sao Tome & Principe FALSE, Eswatini FALSE",4,2,379,0,0,9,8,8,3,2,0,36,41,6
9323338,Uze,Seawaymax,2006,,4,1.1,2023-01-01,2023-07-31,2024-01-18,3,"Marshall Islands, Liberia, United Arab Emirates",3,"Latvia, Liberia, United Arab Emirates",4,"Latvia, India, India, Unknown",0,0,29,4,"Uze, BETTLE",2,"Liberia, Eswatini FALSE",2,6,433,0,0,11,1,9,0,2,5,66,89,20
9381744,Hs Legend,Aframax,2008,,6,3.9999999999999996,2023-03-01,2023-11-30,2024-01-18,2,"Kuwait, Liberia",2,"Kuwait, Liberia",5,"Kuwait, Unknown, India, India, Unknown",0,0,24,7,HS LEGEND,1,"Liberia, Not Known",2,1,39,0,0,10,1,11,0,0,1,20,61,14
9412995,Osperous,Aframax,2009,0.71,1,1.1,2023-02-01,2023-08-31,2024-01-18,3,"Marshall Islands, Liberia, United Arab Emirates",3,"Greece, Liberia, United Arab Emirates",5,"Greece, Unknown, India, India, Unknown",0,0,21,1,"Osperous, KRUGER",2,"Liberia, Eswatini FALSE",2,5,293,2,195,7,0,0,0,9,12,43,61,8
9249087,Hs Glory,Suezmax,2005,1.09,1,0.0,2023-03-01,2023-03-31,2024-01-18,2,"Greece, Liberia",2,"Greece, Liberia",3,"Greece, India, Unknown",2,0,32,1,HS GLORY,1,Not Known,1,0,0,0,0,3,1,5,2,6,3,36,67,5
9274616,La Pride,Aframax,2004,5.49,8,0.7,2023-01-01,2024-01-31,2024-01-18,3,"United Arab Emirates, United Arab Emirates, Liberia",3,"United Kingdom, India, Liberia",4,"Singapore, India, India, Unknown",1,1,36,8,LA PRIDE,1,"Liberia, Not Known",2,0,0,0,0,12,16,9,3,4,0,44,73,4
9274446,Hs Star,Suezmax,2004,2.14,2,1.4,2023-03-01,2023-11-30,2024-01-18,3,"Belgium, Liberia, Liberia",3,"Belgium, Greece, Liberia",4,"Greece, Germany, India, Unknown",1,0,34,2,"Huelva Star, HS STAR",2,Not Known,1,6,493,0,0,6,0,1,0,3,0,83,67,1
9259599,Hai Ii,Aframax,2003,4.97,5,0.0,2023-01-01,2023-07-31,2024-01-18,2,"China, Liberia",4,"China, India, India, Liberia",4,"Singapore, India, India, Unknown",0,0,36,0,HAI II,1,Not Known,1,2,84,0,0,11,2,0,8,0,3,78,252,12
9258868,Asher,Aframax,2003,2.92,4,1.4,2023-03-01,2024-06-30,2024-01-18,2,"Vietnam, Vietnam",2,"Vietnam, Vietnam",2,"Vietnam, Unknown",0,0,41,1,ASHER,1,,0,1,12,0,0,16,3,2,1,12,1,39,23,6
9274800,Yangtze,Aframax,2004,1.46,2,2.0999999999999996,2023-09-01,2024-04-30,2024-01-18,2,"Marshall Islands, Seychelles",4,"Greece, India, Marshall Islands, Seychelles",3,"Greece, India, India",0,0,33,2,"Prometheus, YANGTZE",2,"St.Kitts and Nevis, Gabon",2,4,418,1,211,16,17,0,2,8,5,91,61,10
9339301,Ns Leader,Aframax,2007,3.73,5,0.0,2023-04-01,2023-12-31,2024-02-08,1,Russia,5,"United Arab Emirates, Russia, United Arab Emirates, United Arab Emirates, Russia",5,"United Arab Emirates, Russia, Unknown, United Arab Emirates, Russia",0,0,28,1,,0,Russia,1,2,38,0,0,18,21,18,6,11,0,107,38,4
9341067,Ns Captain,Aframax,2006,4.22,6,0.0,2023-01-01,2023-12-31,2024-02-23,1,Russia,6,"United Arab Emirates, Russia, United Arab Emirates, United Arab Emirates, United Arab Emirates, Russia",7,"United Arab Emirates, Russia, United Arab Emirates, Unknown, United Arab Emirates, United Arab Emirates, Russia",0,0,24,0,KALININGRAD,1,"Gabon, Russia",2,2,43,0,0,12,16,4,18,15,0,163,66,0
9341093,Ns Consul,Aframax,2006,4.12,6,0.0,2023-02-01,2023-11-30,2024-02-23,1,Russia,6,"United Arab Emirates, Russia, United Arab Emirates, United Arab Emirates, United Arab Emirates, Russia",6,"United Arab Emirates, Russia, United Arab Emirates, United Arab Emirates, United Arab Emirates, Russia",0,0,25,1,KOLOMNA,1,"Gabon, Russia",2,2,42,1,19,19,16,5,12,14,0,31,39,1
9249128,Sakhalin Island,Aframax,2004,2.83,4,0.0,2023-01-01,2023-08-31,2024-02-23,3,"Cyprus, China, Russia",5,"Russia, Russia, United Arab Emirates, United Arab Emirates, Russia",6,"United Arab Emirates, Russia, United Arab Emirates, United Arab Emirates, United Arab Emirates, Russia",1,0,30,2,SAKHALIN,1,"Panama, Russia",2,5,92,0,0,24,54,0,0,8,0,62,141,18
9256054,Nevskiy Prospect,Aframax,2003,2.92,4,0.0,2023-01-01,2023-07-31,2024-02-23,1,Russia,6,"United Arab Emirates, Russia, United Arab Emirates, United Arab Emirates, United Arab Emirates, Russia",6,"United Arab Emirates, Russia, Unknown, United Arab Emirates, United Arab Emirates, Russia",0,0,33,1,,0,"Gabon, Russia",2,3,202,0,0,19,38,7,30,6,3,95,77,5
9256078,Liteyny Prospect,Aframax,2003,2.92,4,0.0,2023-02-01,2023-08-31,2024-02-23,1,Russia,6,"United Arab Emirates, Russia, United Arab Emirates, United Arab Emirates, United Arab Emirates, Russia",6,"United Arab Emirates, Russia, Unknown, United Arab Emirates, United Arab Emirates, Russia",0,0,31,1,,0,"Gabon, Russia",2,1,56,1,56,23,34,0,0,7,0,84,50,6
9312896,Ns Creation,Aframax,2007,3.5100000000000002,5,0.0,2023-04-01,2023-12-31,2024-02-23,1,Russia,6,"United Arab Emirates, Russia, United Arab Emirates, United Arab Emirates, United Arab Emirates, Russia",6,"United Arab Emirates, Russia, United Arab Emirates, United Arab Emirates, United Arab Emirates, Russia",0,0,16,1,KRASNOYARSK,1,"Gabon, Russia",2,0,0,0,0,12,48,18,24,11,0,94,66,10
9610808,Anatoly Kolodkin,Aframax,2013,3.61,5,0.0,2023-02-01,2024-01-31,2024-02-23,1,United Arab Emirates,4,"United Arab Emirates, Russia, United Arab Emirates, United Arab Emirates",7,"United Arab Emirates, Russia, United Arab Emirates, United Arab Emirates, United Arab Emirates, Unknown, Russia",0,0,8,0,,0,"Panama, Not Known, Russia",3,1,14,0,0,29,42,5,0,10,0,117,83,6
9270529,Krymsk,Aframax,2003,0.73,1,0.0,2023-03-01,2023-03-31,2024-02-23,1,Russia,6,"United Arab Emirates, Russia, United Arab Emirates, United Arab Emirates, United Arab Emirates, Russia",6,"United Arab Emirates, Russia, Unknown, United Arab Emirates, United Arab Emirates, Russia",0,0,36,2,,0,"Gabon, Russia",2,1,15,0,0,9,33,0,0,11,0,170,94,22
9411020,Ns Burgas,Suezmax,2009,6.94,7,0.0,2023-01-01,2024-05-31,2024-02-23,1,United Arab Emirates,6,"United Arab Emirates, Russia, United Arab Emirates, United Arab Emirates, United Arab Emirates, Russia",6,"United Arab Emirates, Russia, United Arab Emirates, United Arab Emirates, United Arab Emirates, Russia",0,0,17,2,BRATSK,1,"Gabon, Russia",2,1,16,0,0,9,9,9,13,5,1,65,93,8
9412359,Belgorod,Suezmax,2010,6.24,6,0.0,2023-03-01,2024-06-30,2024-02-23,1,United Arab Emirates,6,"United Arab Emirates, Russia, United Arab Emirates, United Arab Emirates, United Arab Emirates, Russia",6,"United Arab Emirates, Russia, United Arab Emirates, United Arab Emirates, United Arab Emirates, Russia",0,0,14,0,BELGOROD,1,"Gabon, Russia",2,4,1076,2,1047,10,6,2,6,7,2,109,30,14
9339313,Ns Lion,Aframax,2007,2.44,4,0.0,2023-01-01,2023-10-31,2024-02-23,2,"Liberia, Russia",6,"United Arab Emirates, Russia, United Arab Emirates, United Arab Emirates, United Arab Emirates, Russia",6,"United Arab Emirates, Russia, United Arab Emirates, United Arab Emirates, United Arab Emirates, Russia",0,0,18,0,LADOGA,1,"Gabon, Russia",2,2,26,0,0,20,28,5,8,12,0,72,123,2
9413559,Ns Antarctic,Aframax,2009,3.65,5,0.0,2023-02-01,2023-10-31,2024-02-23,1,United Arab Emirates,6,"United Arab Emirates, Russia, United Arab Emirates, United Arab Emirates, United Arab Emirates, Russia",6,"United Arab Emirates, Russia, United Arab Emirates, United Arab Emirates, United Arab Emirates, Russia",0,0,14,0,ANTARKTIKA,1,"Gabon, Russia",2,0,0,0,0,30,58,1,16,11,0,175,102,9
9610793,Georgy Maslov,Suezmax,2012,4.34,7,0.0,2023-03-01,2024-02-29,2024-02-23,2,"Liberia, Russia",6,"United Arab Emirates, Russia, United Arab Emirates, United Arab Emirates, United Arab Emirates, Russia",6,"United Arab Emirates, Russia, Unknown, United Arab Emirates, United Arab Emirates, Russia",0,0,19,2,,0,"Gabon, Russia",2,0,0,0,0,22,51,6,4,9,0,56,48,10
9312884,Ns Columbus,Aframax,2007,2.88,4,0.0,2023-01-01,2024-02-29,2024-02-23,1,Russia,6,"United Arab Emirates, Russia, United Arab Emirates, United Arab Emirates, United Arab Emirates, Russia",6,"United Arab Emirates, Russia, Unknown, United Arab Emirates, United Arab Emirates, Russia",0,0,26,1,KEMEROVO,1,"Gabon, Russia",2,0,0,0,0,19,15,6,6,17,2,105,38,6
9259185,Hebe,Aframax,2002,0.72,1,1.9999999999999998,2023-08-01,2024-03-31,2024-04-04,1,United Arab Emirates,2,"China, United Arab Emirates",2,"China, Unknown",1,1,26,4,DAKSHA,1,"Comoros, Not Known, Comoros FALSE",3,2,195,1,48,10,0,5,0,0,2,51,165,10
9339325,Ns Laguna,Aframax,2007,5.859999999999999,8,0.0,2023-03-01,2024-04-30,2024-06-13,2,"Liberia, United Arab Emirates",5,"United Arab Emirates, Russia, United Arab Emirates, United Arab Emirates, United Arab Emirates",5,"United Arab Emirates, Russia, United Arab Emirates, United Arab Emirates, United Arab Emirates",0,0,25,0,LIBERTY,1,"Gabon, Barbados",2,0,0,0,0,28,0,11,0,10,0,61,55,17
9394935,Ocean Amz,Aframax,2008,2.76,4,0.0,2023-08-01,2024-05-31,2024-06-13,2,"Marshall Islands, Marshall Islands",3,"Monaco, Cyprus, United Arab Emirates",3,"Monaco, Germany, United Arab Emirates",0,0,36,6,OCEAN AMZ,1,Cook islands,1,0,0,0,0,10,13,13,11,5,0,73,24,0
9144782,Robon,Aframax,1997,2.0999999999999996,3,1.2999999999999998,2023-01-01,2024-05-31,2024-06-13,3,"Bangladesh, Seychelles, Seychelles",3,"Bangladesh, Seychelles, Kazakhstan",3,"Unknown, Kazakhstan, Kazakhstan",0,0,26,1,"Turba, BODHI, Robon",3,Cameroon,1,0,0,0,0,25,0,2,0,0,0,37,47,22
9289520,Canis Power,Seawaymax,2005,,5,1.7000000000000002,2023-03-01,2024-04-30,2024-06-13,3,"Panama, Marshall Islands, United Arab Emirates",3,"Greece, United Arab Emirates, United Arab Emirates",3,"Greece, United Arab Emirates, United Arab Emirates",1,0,33,4,"Canis Power, N CERNA",2,"Cook islands, Not Known, Barbados",3,2,125,2,125,15,1,24,0,0,2,30,79,14
9333436,Scf Amur,Seawaymax,2007,,10,2.4000000000000004,2023-01-01,2024-04-30,2024-06-24,1,Liberia,5,"United Arab Emirates, Russia, United Arab Emirates, United Arab Emirates, United Arab Emirates",5,"United Arab Emirates, Russia, United Arab Emirates, United Arab Emirates, United Arab Emirates",0,0,27,2,SUCCESS,1,"Gabon, Barbados",2,1,13,0,0,29,18,27,27,0,0,51,21,14
9331153,Galian 2,Aframax,2007,7.1,10,0.0,2023-03-01,2024-06-30,2024-06-24,2,"Malta, United Arab Emirates",3,"Libya, United Arab Emirates, United Arab Emirates",3,"Singapore, United Arab Emirates, United Arab Emirates",0,0,30,1,GALIAN 2,1,"Cook islands, Not Known",2,1,12,0,0,29,20,17,9,9,0,27,38,0
9331141,Vela Rain,Aframax,2006,5.109999999999999,7,0.7,2023-03-01,2024-05-31,2024-06-24,2,"Malta, United Arab Emirates",3,"Libya, United Arab Emirates, United Arab Emirates",3,"Singapore, United Arab Emirates, United Arab Emirates",0,0,33,3,VELA RAIN,1,"Cook islands, Not Known",2,1,14,0,0,18,12,15,3,5,0,101,41,16
9339337,Ns Lotus,Aframax,2008,4.38,6,0.7,2023-04-01,2024-06-30,2024-06-24,2,"United Arab Emirates, United Arab Emirates",5,"United Arab Emirates, Russia, United Arab Emirates, United Arab Emirates, United Arab Emirates",5,"United Arab Emirates, Russia, United Arab Emirates, United Arab Emirates, United Arab Emirates",0,0,24,3,LEGACY,1,"Gabon, Barbados",2,1,567,1,567,28,47,9,11,11,0,55,38,0
9277735,Beks Aqua,Panamax,2004,,2,0.7,2023-11-01,2024-01-31,2024-06-24,2,"Liberia, Marshall Islands",5,"United Kingdom, United Kingdom, Turkey, Turkey, Marshall Islands",4,"Greece, United Kingdom, Singapore, Turkey",1,0,39,4,BEKS AQUA,1,"Marshall Islands, Guinea-Bissau",2,9,360,0,0,10,0,2,0,0,4,15,54,17
9402471,Andromeda Star,Aframax,2009,2.19,3,0.0,2023-12-01,2024-06-30,2024-06-24,2,"United Kingdom, Seychelles",2,"United Kingdom, Seychelles",3,"Greece, Unknown, India",0,0,25,3,ANDROMEDA STAR,1,Panama,1,3,360,2,346,7,6,0,0,2,1,22,64,8
9353113,Hana,Seawaymax,2008,,7,2.3,2023-02-01,2024-05-31,2024-06-24,3,"Isle of Man, Marshall Islands, Mauritius",5,"Singapore, India, Marshall Islands, Turkey, Mauritius",5,"Germany, India, India, Turkey, Unknown",0,0,25,2,"Hana, KAVYA",2,"St.Kitts and Nevis, Not Known, Mongolia, Gabon, Tanzania",5,0,0,0,0,55,43,18,19,0,0,19,64,18
9318553,Ns Spirit,Seawaymax,2006,,11,3.1999999999999997,2023-01-01,2024-03-31,2024-06-24,2,"Liberia, United Arab Emirates",5,"United Arab Emirates, Russia, United Arab Emirates, United Arab Emirates, United Arab Emirates",5,"United Arab Emirates, Russia, United Arab Emirates, United Arab Emirates, United Arab Emirates",0,0,30,4,SAGA,1,"Gabon, Barbados",2,2,27,0,0,35,11,8,0,1,6,78,177,18
9318541,Ns Stream,Seawaymax,2006,,8,2.1,2023-01-01,2024-05-31,2024-06-24,2,"United Arab Emirates, Seychelles",5,"United Arab Emirates, Russia, United Arab Emirates, United Arab Emirates, United Arab Emirates",5,"United Arab Emirates, Russia, Unknown, United Arab Emirates, United Arab Emirates",0,0,40,2,SERENADE,1,"Gabon, Barbados",2,0,0,0,0,32,2,16,0,0,0,43,67,5
9296391,Fighter Two,Suezmax,2006,3.88,4,0.0,2023-09-01,2024-04-30,2024-07-18,4,"Marshall Islands, Liberia, United Arab Emirates, United Arab Emirates",5,"Singapore, Greece, India, United Arab Emirates, United Arab Emirates",5,"United Kingdom, Unknown, India, United Arab Emirates, United Arab Emirates",0,0,20,3,"Mike R, Jal Fighter, FIGHTER TWO",3,"Panama, Cook islands",2,3,7256,1,7229,13,3,7,4,10,0,67,85,9
9292204,Adygeya,Aframax,2005,3.55,5,0.0,2023-01-01,2024-05-31,2024-07-18,2,"Liberia, United Arab Emirates",6,"United Arab Emirates, Russia, United Arab Emirates, United Arab Emirates, United Arab Emirates, United Arab Emirates",7,"United Arab Emirates, Russia, United Arab Emirates, United Arab Emirates, United Arab Emirates, Unknown, United Arab Emirates",0,0,30,0,ANDROMEDA,1,"Gabon, Barbados",2,10,1110,3,795,20,4,7,8,19,0,54,67,5
9333424,Scf Pechora,Seawaymax,2007,,4,1.0,2023-07-01,2024-05-31,2024-07-18,2,"Liberia, United Arab Emirates",6,"United Arab Emirates, Russia, United Arab Emirates, United Arab Emirates, United Arab Emirates, United Arab Emirates",6,"United Arab Emirates, Russia, United Arab Emirates, United Arab Emirates, United Arab Emirates, United Arab Emirates",0,0,32,4,PHOENIX,1,"Gabon, Barbados",2,3,44,3,44,16,8,13,7,0,0,35,53,52
9286657,Dynamik Trader,Suezmax,2005,4.11,4,0.0,2023-07-01,2024-05-31,2024-07-18,3,"Greece, Marshall Islands, India",4,"Greece, United Arab Emirates, United Arab Emirates, India",5,"Greece, Unknown, United Arab Emirates, United Arab Emirates, India",0,0,19,1,"Dynamik Trader, LOKOSAO",2,"Cook islands, Barbados",2,5,957,1,57,3,0,7,0,22,29,25,52,0
9288899,Rocky Runner,Suezmax,2005,5.300000000000001,5,0.0,2023-04-01,2024-04-30,2024-07-18,2,"Liberia, United Arab Emirates",3,"Greece, United Arab Emirates, United Arab Emirates",3,"Greece, United Arab Emirates, United Arab Emirates",0,0,15,7,"Rocky Runner, LORENA GRAND",2,"Cook islands, Barbados",2,0,0,0,0,11,0,9,0,16,3,28,67,2
9511533,Primorsky Prospect,Aframax,2010,5.8100000000000005,8,0.0,2023-01-01,2024-04-30,2024-07-18,2,"Liberia, United Arab Emirates",6,"United Arab Emirates, Russia, United Arab Emirates, United Arab Emirates, United Arab Emirates, United Arab Emirates",6,"United Arab Emirates, Russia, United Arab Emirates, United Arab Emirates, United Arab Emirates, United Arab Emirates",0,0,14,0,RIGEL,1,"Gabon, Barbados",2,3,66,1,12,27,48,0,17,13,0,43,26,4
9306794,Ns Commander,Aframax,2006,4.23,6,0.0,2023-04-01,2024-06-30,2024-07-18,2,"Liberia, United Arab Emirates",6,"United Arab Emirates, Russia, United Arab Emirates, United Arab Emirates, United Arab Emirates, United Arab Emirates",6,"United Arab Emirates, Russia, United Arab Emirates, United Arab Emirates, United Arab Emirates, United Arab Emirates",0,0,30,0,CONSTELLATION,1,"Gabon, Barbados",2,3,72,0,0,15,29,4,14,22,0,72,46,2
9826902,Korolev Prospect,Aframax,2019,8.290000000000001,10,0.7,2023-02-01,2024-06-30,2024-07-18,2,"United Arab Emirates, United Arab Emirates",6,"United Arab Emirates, Russia, United Arab Emirates, United Arab Emirates, United Arab Emirates, United Arab Emirates",6,"United Arab Emirates, Russia, Unknown, United Arab Emirates, United Arab Emirates, United Arab Emirates",0,0,2,0,GALAXY,1,"Gabon, Barbados",2,3,139,0,0,35,43,1,1,10,1,70,111,0
9354313,Zaliv Amurskiy,Aframax,2008,6.300000000000001,7,1.0,2023-01-01,2024-06-30,2024-07-18,1,United Arab Emirates,5,"United Arab Emirates, Russia, United Arab Emirates, United Arab Emirates, United Arab Emirates",5,"United Arab Emirates, Russia, United Arab Emirates, United Arab Emirates, United Arab Emirates",0,0,25,3,,0,Panama,1,2,46,0,0,27,23,2,2,5,0,104,131,3
9341079,Ns Corona,Aframax,2006,10.05,10,0.7,2023-04-01,2024-05-31,2024-09-11,1,Liberia,5,"United Arab Emirates, Russia, United Arab Emirates, United Arab Emirates, United Arab Emirates",5,"United Arab Emirates, Russia, United Arab Emirates, United Arab Emirates, United Arab Emirates",0,0,25,2,,0,Gabon,1,2,33,0,0,29,11,0,14,7,0,69,115,2
9341081,Ns Clipper,Aframax,2006,14.200000000000001,13,0.4,2023-01-01,2024-06-30,2024-09-11,1,United Arab Emirates,5,"United Arab Emirates, Russia, United Arab Emirates, United Arab Emirates, United Arab Emirates",5,"United Arab Emirates, Russia, United Arab Emirates, United Arab Emirates, United Arab Emirates",0,0,29,2,,0,Gabon,1,0,0,0,0,41,19,3,14,3,0,65,129,0
9610781,Nikolay Zuyev,Suezmax,2012,15.319999999999997,14,0.0,2023-02-01,2024-06-30,2024-09-11,2,"Liberia, United Arab Emirates",5,"United Arab Emirates, Russia, United Arab Emirates, United Arab Emirates, United Arab Emirates",6,"United Arab Emirates, Russia, Unknown, United Arab Emirates, United Arab Emirates, Unknown",0,0,22,4,ZENITH,1,"Gabon, Barbados",2,1,104,0,0,40,15,5,13,2,1,88,156,0
9511387,Olympiysky Prospect,Aframax,2010,7.449999999999999,9,0.0,2023-01-01,2024-05-31,2024-09-11,1,United Arab Emirates,5,"United Arab Emirates, Russia, United Arab Emirates, United Arab Emirates, United Arab Emirates",5,"United Arab Emirates, Russia, United Arab Emirates, United Arab Emirates, United Arab Emirates",0,0,14,2,,0,Gabon,1,0,0,0,0,27,54,0,4,1,0,47,33,0
9305568,Scf Baltica,Aframax,2005,6.08,7,0.8,2023-01-01,2024-05-31,2024-09-11,1,United Arab Emirates,5,"United Arab Emirates, Russia, United Arab Emirates, United Arab Emirates, United Arab Emirates",5,"United Arab Emirates, Russia, United Arab Emirates, United Arab Emirates, United Arab Emirates",0,0,24,1,,0,Gabon,1,0,0,0,0,26,57,1,30,4,0,78,88,3
9418494,Zaliv Aniva,Aframax,2009,15.04,16,0.0,2023-01-01,2024-06-30,2024-09-11,2,"Cyprus, United Arab Emirates",4,"Russia, United Arab Emirates, United Arab Emirates, United Arab Emirates",5,"United Arab Emirates, Russia, United Arab Emirates, United Arab Emirates, United Arab Emirates",0,0,23,4,,0,Panama,1,2,25,0,0,22,28,0,0,0,0,83,107,0
9413561,Ns Asia,Aframax,2009,21.0,18,0.0,2023-01-01,2024-06-30,2024-09-11,1,United Arab Emirates,5,"United Arab Emirates, Russia, United Arab Emirates, United Arab Emirates, United Arab Emirates",6,"United Arab Emirates, Russia, United Arab Emirates, United Arab Emirates, United Arab Emirates, United Arab Emirates",0,0,20,2,ALLIANCE,1,"Gabon, Barbados",2,3,43,0,0,45,22,8,7,1,0,98,182,2
9316127,Scf Vankor,Suezmax,2007,10.63,10,0.0,2023-01-01,2024-06-30,2024-09-11,2,"United Arab Emirates, Unknown",6,"United Arab Emirates, Russia, United Arab Emirates, United Arab Emirates, United Arab Emirates, Unknown",6,"United Arab Emirates, Russia, United Arab Emirates, United Arab Emirates, United Arab Emirates, Unknown",0,0,24,1,"SCF Vankor, VEGA",2,"Gabon, Barbados",2,5,80,0,0,15,6,30,8,16,2,183,81,6
9311622,Vladimir Tikhonov,Suezmax,2006,9.200000000000001,9,0.0,2023-01-01,2024-05-31,2024-09-11,1,United Arab Emirates,5,"United Arab Emirates, Russia, United Arab Emirates, United Arab Emirates, United Arab Emirates",5,"United Arab Emirates, Russia, Unknown, United Arab Emirates, United Arab Emirates",0,0,21,2,,0,Gabon,1,1,12,0,0,17,24,15,27,18,2,84,20,0
